part,purpose,qty,unit_price_usd,total_usd,notes
Small brushed DC motor with fan blade,Second machine to test whether the trained model transfers beyond the original USB fan,1,6.00,6.00,Different size and speed to the current fan on purpose
ESP32-C3 development board,Fallback target for on-device inference if the Uno's 2 KB of RAM proves too small,1,7.00,7.00,Only needed if the shrunk model does not fit the ATmega328P
MPU-6050 accelerometer module,Spare and second sensor so both machines can be instrumented at once,1,3.00,3.00,Same part as the current build
Aluminium angle bracket and M3 screw set,Rigid repeatable sensor mount,1,4.00,4.00,First dataset was compromised by the sensor shifting between recordings
Calibrated grub weight set,Repeatable imbalance of known mass for measuring detection threshold,1,3.00,3.00,Replaces the tape and blu-tack currently used
Double sided foam mounting tape,Sensor to machine coupling,1,1.00,1.00,
,,,,24.00,Total
