ax,ay,az
3204,1096,-16868
9720,3344,-18072
12648,1100,-14672
9868,-2408,-11888
5772,-4060,-14080
2652,-688,-16244
5956,1484,-16856
9932,3304,-16484
13216,-392,-14396
7300,-5636,-12060
4288,-2508,-15400
5528,1960,-17948
8284,3356,-17096
11216,1744,-14624
10268,-2276,-12832
6328,-4640,-13776
4148,-408,-17188
5988,2404,-17396
10624,3320,-16052
13116,-456,-13536
7016,-5300,-12208
3904,-2420,-15840
2428,-204,-17032
7852,3120,-17392
13196,2032,-15612
10616,-2140,-12180
5704,-4236,-12956
3324,-2232,-16096
6628,276,-18020
9388,3920,-16692
12416,444,-13920
7768,-5260,-12028
4512,-3604,-15296
4468,1484,-18096
7920,3788,-17220
11252,1912,-14660
10584,-1704,-13068
6220,-4816,-13492
3688,-160,-16868
5484,2272,-17048
10504,3424,-17036
13308,-580,-14008
7520,-5088,-11988
4828,-2564,-15892
3700,-280,-17608
7244,3264,-17036
12304,2912,-15760
11588,-2112,-12872
5796,-4892,-12772
3588,-2008,-16120
7148,804,-18424
9076,4304,-16360
11936,920,-13820
8380,-5368,-12164
5084,-3444,-15096
3260,-124,-17304
7764,3584,-17416
11436,2184,-14732
11308,-1236,-12832
5988,-4584,-13268
3288,-484,-16688
4912,2332,-17256
10536,3332,-17644
13416,-420,-14180
8168,-4852,-11628
5264,-2632,-15320
4116,776,-17276
7124,2692,-17264
10668,2644,-15476
12176,-1156,-13496
6300,-5396,-12684
3760,-2000,-16420
6328,1096,-18360
8780,4064,-16744
12020,1128,-14268
8836,-4488,-12464
5300,-3964,-14900
3620,-212,-17648
7396,3300,-17496
11060,2732,-15092
12316,-1020,-13412
6004,-5016,-13180
2808,-1056,-15932
3996,1904,-16804
9816,3264,-17768
13460,56,-14708
8720,-3932,-11804
5744,-3068,-14532
2960,-396,-16384
6908,1368,-17336
9808,2988,-15140
12340,-560,-13832
6608,-5004,-12560
4132,-3080,-16344
5756,1700,-18424
8952,4040,-16560
12004,1332,-14004
9104,-3928,-12428
5708,-3860,-14840
4160,0,-17588
6640,3028,-17076
10736,3032,-15632
12936,-1112,-13496
6316,-5712,-12664
3664,-2136,-16304
4048,520,-17352
8564,3656,-17296
13100,1452,-14964
9568,-3844,-12164
5516,-3660,-14028
3204,-1428,-16392
7104,992,-17548
9344,3284,-15236
12188,152,-14036
7276,-5048,-12676
3832,-3216,-15620
4396,1848,-17748
9576,3852,-17536
12148,992,-14000
9220,-2800,-12180
5856,-3864,-14820
4336,-52,-17676
6192,2476,-16932
10516,3288,-16296
13340,-952,-13668
6604,-5908,-12104
4684,-2092,-16136
5544,768,-18124
8092,4208,-17256
11964,2160,-14808
10204,-3256,-12208
5820,-4264,-14012
3488,-1360,-17012
6564,772,-17424
9168,3428,-15540
12240,356,-14040
7608,-5172,-12952
4476,-3488,-16008
3668,660,-17260
9136,3976,-17552
11592,1516,-14276
10064,-2228,-12376
6104,-4232,-14504
3700,-216,-17312
5648,2568,-17012
10592,3516,-16824
