ax,ay,az
15316,164,-10836
12924,-3904,-11364
9712,-3440,-14172
8240,-544,-15108
9628,764,-14784
11892,-1960,-12188
10792,-7292,-11292
8064,-8408,-12676
6328,-5604,-15952
7624,-2604,-15608
9896,-4476,-12684
11204,-8080,-11244
8824,-10160,-11596
6436,-8020,-15516
7060,-4040,-16220
9288,-2608,-14648
11396,-3988,-11240
10668,-7244,-10908
8796,-6632,-13520
7376,-2788,-15616
9656,1196,-15060
12464,160,-11300
12928,-3628,-9692
11036,-4124,-10364
9336,-820,-13952
10592,3696,-14168
12564,4068,-11548
14660,1780,-8908
13820,-908,-8844
11512,292,-11568
10632,4060,-12844
13204,7100,-12592
16024,5852,-9340
16128,1464,-8504
13916,384,-10488
11748,3624,-13964
13348,7692,-13752
15836,6904,-10644
17184,2888,-8332
15420,172,-9488
12876,1500,-13072
12096,4760,-14380
14368,6116,-13404
16772,3516,-10064
15792,-1288,-9836
12808,-2488,-12068
10396,144,-15500
11012,3128,-15824
12816,728,-12420
12928,-4328,-10152
9276,-7356,-10408
5660,-5644,-14540
5368,-2560,-14888
6820,-2532,-12568
8176,-4592,-9880
7080,-9652,-9088
4616,-10200,-10452
2984,-6932,-13936
4940,-3376,-13736
7808,-4960,-11064
9524,-8684,-9332
8020,-9940,-10140
6644,-7336,-14344
7524,-3176,-15044
10108,-1808,-13924
12592,-4060,-11540
11848,-7440,-12000
10208,-6916,-14148
9436,-3116,-16000
11420,-60,-15860
14072,-1524,-13432
14852,-5552,-12160
13348,-6520,-13036
11408,-3428,-16020
13052,1416,-14392
14908,1740,-14148
16892,-1132,-12020
16760,-2608,-10092
14780,-1420,-13360
13748,2208,-15380
15252,5488,-15140
17760,4976,-11964
17980,1140,-11376
15632,260,-12284
13176,3468,-14996
14344,8164,-15780
16060,7528,-14088
17020,3564,-12708
14748,1428,-11972
12400,3164,-14920
11620,6632,-15992
12940,7932,-14992
14696,5924,-12532
13744,1352,-11892
10888,324,-13156
7804,2536,-16000
8560,5180,-17000
10376,2984,-14176
10364,-1856,-11972
7196,-4740,-11612
4316,-2920,-14592
4532,400,-14600
6076,664,-12888
7720,-2408,-10364
7168,-6592,-9748
5344,-6628,-11816
4272,-3400,-14044
6640,-800,-13980
9688,-2416,-11384
10044,-6488,-10452
8740,-7076,-11236
7084,-3592,-14820
8436,1004,-15364
10660,1308,-12968
12632,-1336,-10500
11696,-3564,-10464
9952,-2464,-13256
